============================================================
bootstrap: 過去データ一括取得
対象 dataspec: RACE, DIFN, HOSE, BLOD, SLOP, WOOD, HOYU, YSCH, TOKU, COMM, MING
option = 4 (ダイアログなしセットアップ)
fromtime = 20210101000000
============================================================

[01:20:10] read: {'dataspec': 'RACE', 'files_done': 616, 'records': 562632, 'file': 'JGVM2024059920240531151418.jvd'}
[01:20:15] read: {'dataspec': 'RACE', 'files_done': 625, 'records': 566133, 'file': 'SEVM2024059920240531151428.jvd'}
[01:20:20] read: {'dataspec': 'RACE', 'files_done': 625, 'records': 569769, 'file': 'SEVM2024059920240531151428.jvd'}
[01:20:25] read: {'dataspec': 'RACE', 'files_done': 633, 'records': 573400, 'file': 'JGVM2024069920240701144825.jvd'}
[01:20:30] read: {'dataspec': 'RACE', 'files_done': 633, 'records': 577283, 'file': 'JGVM2024069920240701144825.jvd'}
[01:20:35] read: {'dataspec': 'RACE', 'files_done': 642, 'records': 580916, 'file': 'SEVM2024069920240701144836.jvd'}
[01:20:40] read: {'dataspec': 'RACE', 'files_done': 642, 'records': 584780, 'file': 'SEVM2024069920240701144836.jvd'}
[01:20:45] read: {'dataspec': 'RACE', 'files_done': 648, 'records': 588320, 'file': 'JGVM2024079920240802135049.jvd'}
[01:20:50] read: {'dataspec': 'RACE', 'files_done': 654, 'records': 591869, 'file': 'O6VM2024079920240802135053.jvd'}
[01:20:55] read: {'dataspec': 'RACE', 'files_done': 657, 'records': 595399, 'file': 'SEVM2024079920240802135058.jvd'}
[01:21:00] read: {'dataspec': 'RACE', 'files_done': 663, 'records': 598839, 'file': 'JGVM2024089920240902150200.jvd'}
[01:21:05] read: {'dataspec': 'RACE', 'files_done': 663, 'records': 602476, 'file': 'JGVM2024089920240902150200.jvd'}
[01:21:10] read: {'dataspec': 'RACE', 'files_done': 672, 'records': 605913, 'file': 'SEVM2024089920240902150210.jvd'}
[01:21:15] read: {'dataspec': 'RACE', 'files_done': 672, 'records': 609639, 'file': 'SEVM2024089920240902150210.jvd'}
[01:21:20] read: {'dataspec': 'RACE', 'files_done': 679, 'records': 613180, 'file': 'JGVM2024099920240930143005.jvd'}
[01:21:25] read: {'dataspec': 'RACE', 'files_done': 685, 'records': 616724, 'file': 'O6VM2024099920240930143009.jvd'}
[01:21:30] read: {'dataspec': 'RACE', 'files_done': 688, 'records': 620392, 'file': 'SEVM2024099920240930143013.jvd'}
[01:21:35] read: {'dataspec': 'RACE', 'files_done': 695, 'records': 623871, 'file': 'JGVM2024109920241101135404.jvd'}
[01:21:40] read: {'dataspec': 'RACE', 'files_done': 697, 'records': 627613, 'file': 'O2VM2024109920241101135405.jvd'}
[01:21:45] read: {'dataspec': 'RACE', 'files_done': 704, 'records': 631106, 'file': 'SEVM2024109920241101135413.jvd'}
[01:21:50] read: {'dataspec': 'RACE', 'files_done': 704, 'records': 634850, 'file': 'SEVM2024109920241101135413.jvd'}
[01:21:55] read: {'dataspec': 'RACE', 'files_done': 710, 'records': 638243, 'file': 'JGVM2024119920241202150549.jvd'}
[01:22:00] read: {'dataspec': 'RACE', 'files_done': 716, 'records': 641783, 'file': 'O6VM2024119920241202150553.jvd'}
[01:22:05] read: {'dataspec': 'RACE', 'files_done': 719, 'records': 645368, 'file': 'SEVM2024119920241202150559.jvd'}
[01:22:10] read: {'dataspec': 'RACE', 'files_done': 719, 'records': 649015, 'file': 'SEVM2024119920241202150559.jvd'}
[01:22:15] read: {'dataspec': 'RACE', 'files_done': 726, 'records': 652410, 'file': 'JGVM2024129920241229143614.jvd'}
[01:22:20] read: {'dataspec': 'RACE', 'files_done': 730, 'records': 656086, 'file': 'O4VM2024129920241229143615.jvd'}
[01:22:25] read: {'dataspec': 'RACE', 'files_done': 735, 'records': 659641, 'file': 'SEVM2024129920241229143624.jvd'}
[01:22:30] read: {'dataspec': 'RACE', 'files_done': 735, 'records': 663343, 'file': 'SEVM2024129920241229143624.jvd'}
[01:22:35] read: {'dataspec': 'RACE', 'files_done': 741, 'records': 666963, 'file': 'JGVM2025019920250131140819.jvd'}
[01:22:40] read: {'dataspec': 'RACE', 'files_done': 741, 'records': 670847, 'file': 'JGVM2025019920250131140819.jvd'}
[01:22:45] read: {'dataspec': 'RACE', 'files_done': 750, 'records': 674437, 'file': 'SEVM2025019920250131140828.jvd'}
[01:22:50] read: {'dataspec': 'RACE', 'files_done': 750, 'records': 678103, 'file': 'SEVM2025019920250131140828.jvd'}
[01:22:55] read: {'dataspec': 'RACE', 'files_done': 756, 'records': 681487, 'file': 'JGVM2025029920250228135005.jvd'}
[01:23:00] read: {'dataspec': 'RACE', 'files_done': 757, 'records': 685091, 'file': 'O1VM2025029920250228135005.jvd'}
[01:23:05] read: {'dataspec': 'RACE', 'files_done': 765, 'records': 688418, 'file': 'SEVM2025029920250228135015.jvd'}
[01:23:10] read: {'dataspec': 'RACE', 'files_done': 765, 'records': 692068, 'file': 'SEVM2025029920250228135015.jvd'}
[01:23:15] read: {'dataspec': 'RACE', 'files_done': 772, 'records': 695496, 'file': 'JGVM2025039920250331142642.jvd'}
