date,track_code,race_num,grade_code,tentative,top_horse_num,top_rank,top_has_mark,p_win,p_raw_blended,ev,odds,y_top_is_winner,tan_payout_if_bet
20250202,10,12,,0,11,1,1,0.218300,0.473613,8.799000,40.30,0,0
20250208,05,01,,0,14,1,1,0.140400,0.159462,0.000000,0.00,0,0
20250208,05,02,,0,12,1,1,0.176500,0.304913,0.000000,0.00,0,0
20250208,05,03,,0,04,1,1,0.213200,0.252081,0.000000,0.00,0,0
20250208,05,04,,0,09,1,1,0.176500,0.330361,0.000000,0.00,0,0
20250208,05,05,,0,14,1,1,0.115000,0.239781,0.000000,0.00,0,0
20250208,05,06,,0,03,1,1,0.040100,0.261393,0.809000,20.20,0,0
20250208,05,07,,0,02,1,1,0.107200,0.216755,0.000000,0.00,0,0
20250208,05,08,,0,11,1,1,0.102200,0.349711,0.000000,0.00,0,0
20250208,05,09,E,0,09,1,1,0.126600,0.165003,0.000000,0.00,0,0
20250208,05,10,0,0,04,1,1,0.318200,0.325976,32.134000,101.00,1,5090
20250208,05,11,0,0,06,1,1,0.275700,0.599741,2.481000,9.00,0,0
20250208,05,12,,0,04,1,1,0.190800,0.430976,0.305000,1.60,0,0
20250208,08,01,,0,05,1,1,0.314500,0.245978,0.000000,0.00,0,0
20250208,08,02,,0,05,1,1,0.189500,0.283453,0.000000,0.00,0,0
20250208,08,03,,0,10,1,1,0.138100,0.155865,0.000000,0.00,0,0
20250208,08,04,,0,16,1,1,0.106400,0.139384,0.000000,0.00,0,0
20250208,08,05,,0,10,1,1,0.209600,0.169079,0.000000,0.00,0,0
20250208,08,06,,0,08,1,1,0.173700,0.195859,0.000000,0.00,0,0
20250208,08,07,,0,03,1,1,0.208100,0.185977,0.000000,0.00,0,0
20250208,08,08,,0,04,1,1,0.342300,0.447959,0.000000,0.00,0,0
20250208,08,09,0,0,01,1,1,0.379800,0.269868,0.000000,0.00,0,0
20250208,08,10,0,0,07,1,1,0.135900,0.218119,0.000000,0.00,0,0
20250208,08,11,?,0,06,1,1,0.245300,0.252273,0.000000,0.00,0,0
20250208,08,12,,0,13,1,1,0.139600,0.145658,0.000000,0.00,0,0
20250208,10,01,,0,16,1,1,0.131300,0.441159,0.657000,5.00,1,370
20250208,10,02,,0,01,1,1,0.203400,0.372109,20.547000,101.00,0,0
